item_id,title,item_category,media_type,score,item_content
1,"[Playlist] 나만 알고 싶은 밴드, 유다빈 밴드 노래 모음",music,long_form,85,유다빈 밴드의 노래 모음을 소개하는 플레이리스트 영상 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
2,[오늘 이 뉴스] 뭘 사과하신 건지 어리둥절 돌직구 질문에 반응,news,short_form,78,최근 이슈에 대해 돌직구 질문과 반응을 다루는 뉴스 콘텐츠 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다.
3,개초딩 공포게임,game,long_form,83,초등학생들도 쉽게 즐길 수 있는 공포게임 플레이 영상 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다.
4,서머 시즌의 T1과 월즈에서의 T1이 달랐던 이유,game,long_form,90,T1 팀의 성적 차이를 분석하는 스포츠 해설 영상 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다.
5,이게 삼국지야 미연시야,game,long_form,88,삼국지와 미연시가 결합된 게임을 리뷰하고 플레이하는 영상 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다.
6,환장의 미국 선물 단타쇼,education,short_form,80,재미있는 미국 선물 언박싱 및 리뷰 영상 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다.
7,고고학이란 무엇인가?,education,long_form,85,고고학의 정의와 이집트 유물에 대해 설명하는 교육적 콘텐츠 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다.
8,뉴진스가 하면 히로캐미도 한다 이거지…라고 버니즈 캐미가 말했어요,entertainment,short_form,83,뉴진스 팬과 관련된 재미있는 에피소드를 소개하는 영상 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다.
9,애플의 AI가 알고보면 더 엄청난 이유! 쉽게 설명해 드림,tech,short_form,86,애플의 AI 기술을 쉽게 설명하는 영상 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다.
10,유병재는 아주 유명한 암기핑임,life_style,short_form,77,유병재의 특징을 암기에 관련하여 소개하는 짧은 영상 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
11,마지막 투어를 끝낸 기분이요? 아 솔직히…,music,short_form,84,투어를 마친 가수의 솔직한 소감을 인터뷰하는 콘텐츠 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
12,사람도 기절시켜 버립니다! 아마존 강에 살고 있는 초대형 전기뱀장어,life_style,long_form,90,아마존 강에서 전기뱀장어를 잡고 경험을 공유하는 생태 다큐 영상 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다.
13,캐논 렌즈 소니에 끼울 수 있습니다,tech,short_form,75,캐논 렌즈를 소니 카메라에 사용할 수 있는 방법을 설명하는 튜토리얼 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다.
14,헬창판 흑백 요리사.. 오늘의 단백질은 뭔가요?,sports_health,short_form,82,헬스인을 위한 고단백 요리 레시피를 소개하는 짧은 영상 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
15,헬스 엑셀 방송 | 헬창의 삶3,sports_health,long_form,78,헬스 관련 기록 및 팁을 엑셀로 관리하는 헬스인의 일상 콘텐츠 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다.
16,주우재가 알려주는 가격대별 데님 추천,life_style,short_form,88,주우재가 추천하는 가격대별 데님 제품을 소개하는 패션 영상 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
17,전세계 컴퓨터에 영역전개해서 블루스킨 띄운 기업,tech,long_form,85,세계적으로 블루스크린을 유발한 기업과 사건을 분석하는 영상 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다.
18,빵빵이의 복권당첨~,movie,short_form,74,복권에 당첨된 빵빵이의 반응과 에피소드를 담은 영상 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다.
19,가장 받고 싶은 집들이 선물 월드컵,entertainment,short_form,80,집들이 선물로 인기 있는 아이템을 월드컵 방식으로 소개하는 영상 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다.
20,양배추전으로 살 10kg 그냥 뺍니다,food_cooking,short_form,89,다이어트를 위한 양배추전을 만드는 방법을 소개하는 영상 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
21,돌고 돌아 한신포차에서 부활한 해물떡찜,food_cooking,long_form,81,유명한 한신포차에서 해물 떡찜을 즐기는 경험을 담은 영상 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다.
22,성공률 100% 돼지고기 김치찌개,food_cooking,short_form,87,완벽한 돼지고기 김치찌개 레시피를 소개하는 짧은 요리 영상 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다.
23,매일 반복되는 강아지의 하루,pet,short_form,85,강아지의 하루 일과를 귀엽게 담은 짧은 영상 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다.
24,"귀,위가 터질거 같은 1일 4식 마카오 음식 일주",travel,long_form,82,마카오에서 하루 4끼를 먹으며 음식 문화를 체험하는 브이로그 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다.
25,뿌카몬 카드 게임 텅구리로 알아보는 오늘의 운세,game,long_form,87,포켓몬 카드게임을 하면서 텅구리 카드의 효과 동전 던지기로 오늘의 운세를 확인하는 영상 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
26,침착맨의 흑백요리사 최종 라운드 컨설팅,food_cooking,short_form,93,"이 영상은 요리 경연 대회의 최종 라운드를 다루고 있습니다. 1대1 승부의 긴장감이 극대화되며, 참가자들의 실력과 개성이 돋보이는 장면들이 이어집니다. 특히 영상에서는 권성준이 최종 우승자로 발표되며, 그의 자신감 있는 태도와 요리 결과가 큰 감동을 줍니다. 흑백 요리사 컨셉으로 제작된 이 시리즈는 독특한 연출과 요리사의 진지한 태도가 어우러져 흥미를 끌며, 시청자들에게 요리의 즐거움과 경연의 긴장감을 동시에 전달합니다."
27,육묘 난이도 최하 고양이 영상,entertainment,short_form,83,"이 영상은 귀여운 고양이가 등장하는 단편 콘텐츠로, 고양이가 머리띠를 쓰고도 가만히 있는 모습이 웃음을 줍니다. 특히 '노조 머리띠'라는 자막과 함께 고양이의 무심한 표정이 큰 웃음 포인트입니다. 영상은 짧지만 시청자들에게 힐링과 재미를 동시에 전달하며, 반려동물 콘텐츠의 매력을 극대화합니다."
28,속초 포장마차에서 양미리 구이,food_cooking,short_form,71,"이 영상은 속초 포장마차에서 양미리를 연탄불에 구워 먹는 모습을 담고 있습니다. 노릇노릇하게 익어가는 양미리의 비주얼이 식욕을 자극하며, 영상 속 대사는 감동받은 강아지를 언급하며 유머러스하게 마무리됩니다. 길거리 음식의 매력과 함께 지역의 특별한 먹거리를 생생하게 보여주는 영상입니다."
29,샘스파가 삼스파 중 찐 스파이더맨인 이유,movie,short_form,100,이 영상은 스파이더맨에 대한 재미있는 분석을 담고 있습니다. 샘스파와 삼스파 중 누가 진짜 스파이더맨인지에 대해 다양한 장면과 의견을 바탕으로 비교하며 유머러스하게 풀어냅니다. 특히 과학 실험실 장면에서 주인공의 모습이 시청자들의 웃음을 유발합니다.
30,버블검의 첫 실패작 레몬백작,movie,short_form,74,"이 영상은 애니메이션 캐릭터 버블검의 첫 실패작으로 불리는 레몬백작에 대한 이야기를 다루고 있습니다. 레몬백작의 독특한 성격과 폭력적인 모습이 재미있게 표현되며, 애니메이션 속 명장면을 모아 유머러스하게 편집한 콘텐츠입니다."
31,[아케인] 바이를 위해 희생하는 파우더,game,short_form,94,이 영상은 애니메이션 '아케인'의 명장면 중 하나를 담고 있습니다. 파우더가 바이의 생존을 위해 희생하는 감동적인 장면과 함께 배경음악이 영상의 감정을 극대화합니다. 아름다운 애니메이션과 감정선이 돋보이는 콘텐츠입니다.
32,PUBG 하이라이트: Victor IQ 플레이,game,short_form,86,"이 영상은 PUBG 모바일 게임의 하이라이트를 보여줍니다. 플레이어가 Victor IQ의 플레이로 눈에 띄는 순간을 연출하며, 유머러스한 상황과 뛰어난 플레이가 재미를 더합니다. 게임 애호가들에게 큰 즐거움을 주는 콘텐츠입니다."
33,강추! 백종원표 10분 두부김치 레시피,food_cooking,short_form,82,"이 영상은 백종원이 알려주는 초간단 두부김치 레시피를 담고 있습니다. 삼겹살과 두부를 활용해 10분 만에 완성되는 레시피로, 바쁜 일상 속에서도 쉽게 따라 할 수 있는 요리법을 소개합니다."
34,20대 남녀의 대학 술 마시는 속도 차이,life_style,short_form,73,"이 영상은 20대 남녀가 대학에서 술을 마시는 모습을 비교하며 재미있게 표현한 콘텐츠입니다. 남자는 입영 통지서를 떠올리며 급하게 마시는 반면, 여자는 여유롭게 술을 즐기는 모습이 유머러스하게 그려져 시청자들에게 큰 웃음을 줍니다."
35,겨울 스노우보드 베이직 트레이닝 팁,sports_health,short_form,73,이 영상은 겨울 스포츠 초보자를 위한 스노우보드 베이직 트레이닝 팁을 제공하고 있습니다. 직활강과 보존 변환을 연습하며 적당한 속도와 자세를 유지하는 법을 설명해 초보자들도 쉽게 따라 할 수 있도록 도와줍니다.
36,소쿠리 속 낭이 뒤집기,pet,short_form,98,이 영상은 소쿠리 속에 낭이를 뒤집는 과정을 보여주는 재미있는 생활 꿀팁 영상입니다. 간단한 동작만으로 낭이를 깔끔하게 뒤집을 수 있는 유용한 팁이 소개됩니다.
37,오믈렛 도전기 24일 차,food_cooking,short_form,99,"이 영상은 오믈렛 만들기에 도전하는 과정을 담고 있습니다. 24일 차의 꾸준한 연습으로 더욱 완성도 높은 오믈렛이 탄생하며, 요리를 좋아하는 시청자들에게 영감을 줍니다."
38,음대생 악기 값은 얼마일까?,music,short_form,78,이 영상은 음대생들이 사용하는 악기의 가격을 알아보는 흥미로운 탐구 콘텐츠입니다. 음대생들의 생생한 인터뷰를 통해 악기의 가치와 중요성을 전달하며 교육적인 의미를 더합니다.
39,해외 슈퍼카 오너의 일상,car_auto,short_form,94,"이 영상은 해외 슈퍼카 오너의 일상을 담고 있습니다. 럭셔리 자동차를 배경으로 일상적인 모습과 함께 유머러스한 상황이 연출되며, 슈퍼카 문화의 매력을 보여줍니다."
40,2023 메이크업 모아보기,beauty,short_form,96,"이 영상은 뷰티 크리에이터의 2023년 메이크업 총집합을 보여줍니다. 다양한 메이크업 스타일과 트렌드를 돌아보며, 뷰티 팬들에게 유익하고 영감을 주는 콘텐츠입니다."
41,블랙핑크 단톡방 담당 파트,celeb,short_form,90,"이 영상은 블랙핑크 멤버들이 단톡방에서의 역할을 소개하는 장면을 담고 있습니다. 인터뷰를 통해 멤버들 간의 케미와 유머가 돋보이며, 팬들에게 큰 재미를 줍니다."
42,사진 초보가 꼭 하는 실수,hobbies,short_form,74,"이 영상은 사진 초보자들이 흔히 저지르는 실수들을 설명하는 유익한 콘텐츠입니다. 사진의 구도, 빛 조절, 초점 맞추기와 같은 기본적인 실수들을 짚어주며 초보자들도 쉽게 따라 할 수 있는 간단한 팁을 제공합니다. 사진 촬영을 처음 시작하는 사람들에게 큰 도움이 되는 교육적인 영상입니다."
43,안유진의 무대 일기,music,short_form,78,이 영상은 가수 안유진의 무대 위 퍼포먼스를 담고 있습니다. 파워풀한 안무와 감정 표현이 돋보이며 팬들에게 큰 감동을 전해줍니다.
44,요즘 일본에서 유행하는 닭 게임,entertainment,short_form,98,"이 영상은 일본에서 유행하는 독특한 엔터테인먼트 게임을 소개합니다. 플레이어들이 닭 소리를 내며 서로 경쟁하는 모습이 유머러스하게 연출되며, 웃음과 함께 가벼운 즐거움을 선사합니다. 게임의 단순하지만 중독성 있는 재미가 시청자들의 흥미를 끌어당깁니다."
45,포켓몬 노래와 함께하는 뿌온카 개회식,entertainment,short_form,75,이 영상은 포켓몬 노래와 함께 진행된 개회식 장면을 담고 있습니다. 유머러스한 분위기와 즐거운 음악이 어우러져 시청자들에게 큰 재미를 선사합니다.
46,게임에 과몰입하면 생기는 일 5화,game,short_form,72,이 영상은 게임에 몰입한 플레이어들의 웃픈 상황을 보여줍니다. 특히 해상 전투 장면이 실감 나게 표현되며 게임 애호가들의 공감을 자아냅니다.
47,동물 타워 배틀 플레이 중,game,short_form,96,"이 영상은 동물 타워 배틀 게임을 플레이하는 모습을 담고 있습니다. 동물 캐릭터들이 쌓이는 모습이 유머러스하게 연출되며, 보는 이들에게 큰 웃음을 줍니다."
48,사이온 바텀 3렙 다이브 초반 설계,game,short_form,93,이 영상은 게임 '리그 오브 레전드'에서 사이온 챔피언을 활용한 바텀 라인 3레벨 다이브 전략을 소개합니다. 초반 설계를 통해 상대 팀을 압박하며 게임을 유리하게 이끌어가는 노하우를 보여줍니다.
49,템 보고 환산 맞추기,game,short_form,77,"이 영상은 게임 내 아이템의 가치를 환산해 맞추는 독특한 도전 콘텐츠입니다. 플레이어들이 제한된 정보 속에서 아이템 가격을 추측하며, 정확도를 높이기 위해 재미있고 긴장감 넘치는 상황을 연출합니다."
50,젠지가 결승에 올라갔다면?,game,short_form,78,이 영상은 리그 오브 레전드 월드 챔피언십 결승전에서 젠지 팀의 가상 시나리오를 다룹니다. 만약 젠지가 결승에 진출했다면 어떻게 경기가 진행되었을지 분석하며 팬들에게 흥미로운 상상을 제공하는 콘텐츠입니다.
51,미국 주식 갤러리 근황,economy,short_form,85,"이 영상은 최근 미국 주식 갤러리에서 발생한 재미있는 상황들을 소개합니다. 투자자들이 주식 시장의 변동성에 대한 반응을 유머러스하게 풀어내며, 주식 투자자라면 공감할 만한 콘텐츠입니다."
52,정답률 0% 미국 대입문제,education,short_form,77,"이 영상은 정답률이 0%에 달하는 미국 대입 시험 문제를 소개합니다. 천재 수학 강사의 풀이 과정을 통해 복잡한 문제를 이해하기 쉽게 설명하며, 시청자들의 논리적 사고를 자극하는 교육적인 콘텐츠입니다."
53,댓글 갤러리 명장면 모음,entertainment,short_form,77,"이 영상은 과거 TV 프로그램에서 나온 명장면과 함께 댓글 반응을 소개합니다. 특히 재미있는 댓글들이 추가되어 당시의 유머를 되살리며, MZ세대와 X세대 모두에게 웃음을 선사하는 콘텐츠입니다."
54,천천히 떨어지는 자석의 비밀,education,short_form,96,"이 영상은 전자기학의 원리를 실험을 통해 설명하는 교육 콘텐츠입니다. 자석이 금속관 안에서 천천히 떨어지는 현상을 시연하며, 패러데이의 법칙과 전자기 유도 현상을 쉽게 이해할 수 있도록 돕습니다."
55,고음 크리스토퍼 X 저음 영지,music,short_form,90,"이 영상은 가수 크리스토퍼와 이영지의 특별한 듀엣 무대를 담고 있습니다. 고음과 저음이 조화롭게 어우러져 색다른 감성을 전달하며, 라이브 공연에서의 뛰어난 보컬 실력을 감상할 수 있습니다."
56,2천원으로 기계식 키보드 튜닝하는 법,tech,short_form,79,"이 영상은 저렴한 비용으로 기계식 키보드를 튜닝하는 방법을 소개합니다. 2천 원만으로 키보드 소음을 줄이고 타건감을 개선하는 꿀팁을 제공하며, 키보드 애호가들에게 실용적인 정보를 제공합니다."
57,무도 레전드 찍었던 데프콘 인생역전의 날,entertainment,short_form,93,"이 영상은 예능 프로그램 '무한도전'에서 데프콘이 보여준 인생 역전의 순간을 다룹니다. 진지한 도전과 웃음을 동시에 선사하며, 명장면으로 손꼽히는 날의 에피소드를 재조명합니다."
58,기술보다 중요한 사람의 심리,education,short_form,84,이 영상은 사람의 심리가 기술보다 더 중요하다는 메시지를 전달합니다. 강연자가 실생활 사례를 통해 사람의 심리적 요인이 문제 해결에 큰 영향을 미친다는 것을 강조하며 유익한 인사이트를 제공합니다.
59,오믈렛 도전기 46일 차,food_cooking,short_form,80,"이 영상은 46일째 이어지는 오믈렛 도전의 기록을 담고 있습니다. 점점 완성도가 높아지는 과정을 통해 꾸준한 노력의 가치를 보여주며, 요리 초보자들에게 큰 영감을 줍니다."
60,시즌 13 징크스 하이라이트,game,short_form,96,"이 영상은 게임 '리그 오브 레전드' 시즌 13에서 징크스의 하이라이트 장면을 소개합니다. 플레이어의 뛰어난 컨트롤과 전략이 돋보이며, 게임 팬들에게 흥미로운 순간을 제공합니다."
61,스트리트 아티스트에게 노트북 페인팅 요청,hobbies,short_form,88,"이 영상은 거리의 아티스트가 노트북에 독특한 페인팅을 하는 과정을 담고 있습니다. 스프레이 아트를 활용해 창의적이고 개성 넘치는 디자인이 완성되며, 시청자들에게 스트리트 아트의 매력을 소개합니다."
62,메이플스토리 NEXT 업데이트,game,short_form,70,"이 영상은 메이플스토리의 최신 업데이트 'NEXT'를 소개합니다. 새로운 콘텐츠와 함께 등장하는 마스터리 코어의 완성을 강조하며, 유저들에게 기대감을 불러일으키는 트레일러 영상입니다."
63,역대급 하프라인 슈팅 도전,sports_health,short_form,79,"이 영상은 60초 안에 레이업, 자유투, 3점 슛을 성공시키는 하프라인 슈팅 도전을 담고 있습니다. 극적인 순간과 도전의 긴장감이 가득하며, 관중들의 환호와 함께 감동적인 결과를 보여줍니다."
64,페이커의 미끄러진 무빙,game,short_form,96,"이 영상은 T1 Faker 선수의 미세한 무빙 컨트롤을 담고 있습니다. 프로페셔널한 움직임과 타이밍이 압권이며, 리그 오브 레전드 팬들에게 놀라운 기술력을 선보이는 명장면입니다."
65,일본에서 건너온 유사과학 - 혈액형 성격설,education,short_form,76,"이 영상은 일본에서 유래한 혈액형 성격설의 과학적 근거를 탐구합니다. 많은 사람들이 믿었던 혈액형과 성격의 상관관계를 비판적으로 분석하며, 유사과학에 대한 흥미로운 정보를 제공합니다."
66,살아있는 행주 말리기,pet,short_form,91,"이 영상은 고양이를 목욕시킨 후 말리는 귀여운 장면을 담고 있습니다. 행주처럼 말리는 모습이 유머러스하게 연출되며, 반려동물과의 일상을 사랑스럽고 재치 있게 보여줍니다."
67,300도 죄불 소고기 타다끼,food_cooking,short_form,73,이 영상은 300도의 높은 열로 소고기 타다끼를 만드는 과정을 소개합니다. 겉은 바삭하고 속은 부드러운 완벽한 타다끼를 구현하는 방법이 시청자들에게 실용적이면서도 군침 도는 레시피를 제공합니다.
68,"남성들을 위한 여름, 겨울 코디법",life_style,short_form,73,이 영상은 남성들을 위한 여름과 겨울철 옷 스타일링 팁을 소개합니다. 다양한 계절에 맞는 패션 아이템과 코디법을 통해 간단하면서도 멋스러운 스타일을 완성하는 방법을 알려줍니다.
